3773	3062020	1		13
9753	3062020	1		25
9661	3062020	1		32
9732	3062020	1		37
3721	3062020	1		62
6813	3062020	1		70
2491	3062020	1		75
6565	3062020	1		83
6702	3062020	1		103
6711	3062020	1		103
6774	3062020	1		115
8734	3062020	1		148
3605	3062020	1		158
9182	3062020	1		167
3805	3062020	1		193
6157	3062020	1		243
5775	3062020	1		243
9765	3062020	1		250
6699	3062020	1		267
3606	3062020	1		268
3698	3062020	1		268
3727	3062020	1		287
9814	3062020	1		297
3609	3062020	1		302
9140	3062020	1		325
2818	3062020	1		353
6820	3062020	1		365
9788	3062020	1		398
8655	3062020	1		540
2642	3062020	1		573
6616	3062020	1		612
6777	3062020	1		628
9627	3062020	1		682
6596	3062020	1		717
6274	3062020	1		860
6737	3062020	1		883
2795	3062020	1		898
2293	3062020	1		928
5660	3062020	1		1095
6759	3062020	1		1105
6826	3062020	1		1210
8708	3062020	1		2033
8579	3062020	1		2202
9809	3062020	1		2225
8654	3062020	1		2233
6824	3062020	1		3135
9419	3062020	1		3453
6700	3062020	1		3527
6712	3062020	1		5610
9419	3062020	2		50
6759	3062020	2		52
6699	3062020	2		117
6457	3062020	2		182
6452	3062020	2		187
6813	3062020	2		198
6302	3062020	2		210
5744	3062020	2		285
2706	3062020	2		300
6547	3062020	2		308
6590	3062020	2		332
2336	3062020	2		378
5754	3062020	2		400
2310	3062020	2		420
2499	3062020	2		425
2611	3062020	2		425
2687	3062020	2		440
5767	3062020	2		473
6165	3062020	2		557
1703	3062020	2		637
6584	3062020	2		688
9713	3062020	2		698
5726	3062020	2		770
2199	3062020	2		815
2629	3062020	2		827
2287	3062020	2		873
6455	3062020	2		908
6781	3062020	2		940
6144	3062020	2		942
6566	3062020	2		957
6567	3062020	2		957
6148	3062020	2		1022
6486	3062020	2		1090
6678	3062020	2		1142
6667	3062020	2		1183
8582	3062020	2		1192
6826	3062020	2		1350
1591	3062020	2		1368
6164	3062020	2		1468
6720	3062020	2		1530
6581	3062020	2		1595
8551	3062020	2		1632
8749	3062020	2		1693
2795	3062020	2		1740
6700	3062020	2		1750
6663	3062020	2		1813
5722	3062020	2		1855
2293	3062020	2		1982
6712	3062020	2		1985
5660	3062020	2		1997
6824	3062020	2		2003
6565	3062020	2		2023
6774	3062020	2		2047
6688	3062020	2		2075
6222	3062020	2		2173
8623	3062020	2		2215
6665	3062020	2		2260
6274	3062020	2		2385
6737	3062020	2		2387
2818	3062020	2		2450
6526	3062020	2		2525
6702	3062020	2		2547
8719	3062020	2		2565
8806	3062020	2		2577
6574	3062020	2		2683
2642	3062020	2		2717
6598	3062020	2		2828
8708	3062020	2		2832
6691	3062020	2		2932
8579	3062020	2		3133
6762	3062020	2		3185
6626	3062020	2		3245
6711	3062020	2		3390
8734	3062020	2		3450
6552	3062020	2		3682
6656	3062020	2		3852
8748	3062020	2		4178
8654	3062020	2		4642
6783	3062020	2		4803
8655	3062020	2		5083
2499	3062020	136		115
2629	3062020	136		418
2706	3062020	136		698
2310	3062020	136		857
