888880000118/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100030000223156.92 0000000000.00
888880000218/05/2020CARGAS SOCIALES                         102900030000080336.49 0000000000.00
888880000218/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100110000181167.84 0000000000.00
888880000318/05/2020CARGAS SOCIALES                         102900110000065220.42 0000000000.00
888880000318/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100150000003062.19 0000000000.00
888880000418/05/2020CARGAS SOCIALES                         102900150000001102.39 0000000000.00
888880000418/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100200000258966.40 0000000000.00
888880000518/05/2020CARGAS SOCIALES                         102900200000093227.90 0000000000.00
888880000518/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100210000074229.75 0000000000.00
888880000618/05/2020CARGAS SOCIALES                         102900210000026722.71 0000000000.00
888880000618/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100220000297131.87 0000000000.00
888880000718/05/2020CARGAS SOCIALES                         102900220000106967.47 0000000000.00
888880000718/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100230000297312.26 0000000000.00
888880000818/05/2020CARGAS SOCIALES                         102900230000107032.41 0000000000.00
888880000818/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100240000123316.55 0000000000.00
888880000918/05/2020CARGAS SOCIALES                         102900240000044393.96 0000000000.00
888880000918/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100280000044105.04 0000000000.00
888880001018/05/2020CARGAS SOCIALES                         102900280000015877.81 0000000000.00
888880001018/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100290000140393.68 0000000000.00
888880001118/05/2020CARGAS SOCIALES                         102900290000050541.72 0000000000.00
888880001118/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100380000086945.46 0000000000.00
888880001218/05/2020CARGAS SOCIALES                         102900380000031300.37 0000000000.00
888880001218/05/2020VAC.EJE.CTE.PTE.LIQ.                    103100440000138649.07 0000000000.00
888880001318/05/2020CARGAS SOCIALES                         102900440000049913.67 0000000000.00
888880001418/05/2020LICENCIA 2018                           018200010000000000.00 0002541074.36
